,week,state,state_name,disease,cases,incidence_per_capita
409,196613,MI,MICHIGAN,RUBELLA,84,0.99
410,196613,MN,MINNESOTA,RUBELLA,2,0.06
411,196613,MO,MISSOURI,RUBELLA,1,0.02
412,196613,ND,NORTH DAKOTA,RUBELLA,6,0.93
413,196613,NY,NEW YORK,RUBELLA,141,0.79
414,196613,OH,OHIO,RUBELLA,42,0.41
415,196613,OR,OREGON,RUBELLA,39,1.98
416,196613,PA,PENNSYLVANIA,RUBELLA,2,0.02
417,196613,RI,RHODE ISLAND,RUBELLA,10,1.11
418,196613,SC,SOUTH CAROLINA,RUBELLA,31,1.23
419,196613,TN,TENNESSEE,RUBELLA,79,2.07
420,196613,TX,TEXAS,RUBELLA,2,0.02
421,196613,UT,UTAH,RUBELLA,4,0.4
422,196613,VA,VIRGINIA,RUBELLA,35,0.79
423,196613,VT,VERMONT,RUBELLA,5,1.21
424,196613,WA,WASHINGTON,RUBELLA,84,2.75
425,196613,WI,WISCONSIN,RUBELLA,221,5.17
426,196613,WV,WEST VIRGINIA,RUBELLA,32,1.8
427,196614,AK,ALASKA,RUBELLA,6,2.21
428,196614,AL,ALABAMA,RUBELLA,5,0.14
429,196614,AR,ARKANSAS,RUBELLA,1,0.05
430,196614,AZ,ARIZONA,RUBELLA,118,7.31
431,196614,CA,CALIFORNIA,RUBELLA,148,0.78
432,196614,CO,COLORADO,RUBELLA,13,0.65
433,196614,CT,CONNECTICUT,RUBELLA,53,1.83
434,196614,DC,DISTRICT OF COLUMBIA,RUBELLA,2,0.25
435,196614,FL,FLORIDA,RUBELLA,24,0.39
436,196614,IA,IOWA,RUBELLA,121,4.38
437,196614,IL,ILLINOIS,RUBELLA,110,1.02
438,196614,IN,INDIANA,RUBELLA,82,1.64
439,196614,KY,KENTUCKY,RUBELLA,24,0.76
440,196614,MA,MASSACHUSETTS,RUBELLA,75,1.36
441,196614,MD,MARYLAND,RUBELLA,15,0.41
442,196614,ME,MAINE,RUBELLA,18,1.8
443,196614,MI,MICHIGAN,RUBELLA,104,1.22
444,196614,MN,MINNESOTA,RUBELLA,6,0.17
445,196614,MO,MISSOURI,RUBELLA,4,0.09
446,196614,MT,MONTANA,RUBELLA,14,1.98
447,196614,ND,NORTH DAKOTA,RUBELLA,1,0.15
448,196614,NE,NEBRASKA,RUBELLA,3,0.21
449,196614,NH,NEW HAMPSHIRE,RUBELLA,2,0.29
450,196614,NY,NEW YORK,RUBELLA,126,0.71
451,196614,OH,OHIO,RUBELLA,40,0.39
452,196614,OR,OREGON,RUBELLA,48,2.44
453,196614,PA,PENNSYLVANIA,RUBELLA,2,0.02
454,196614,RI,RHODE ISLAND,RUBELLA,44,4.89
455,196614,SC,SOUTH CAROLINA,RUBELLA,14,0.56
456,196614,TN,TENNESSEE,RUBELLA,65,1.7
457,196614,TX,TEXAS,RUBELLA,7,0.07
458,196614,UT,UTAH,RUBELLA,1,0.1
459,196614,VA,VIRGINIA,RUBELLA,15,0.34
460,196614,VT,VERMONT,RUBELLA,3,0.73
461,196614,WA,WASHINGTON,RUBELLA,77,2.52
462,196614,WI,WISCONSIN,RUBELLA,339,7.93
463,196614,WV,WEST VIRGINIA,RUBELLA,23,1.3
464,196615,AK,ALASKA,RUBELLA,4,1.48
465,196615,AL,ALABAMA,RUBELLA,7,0.2
466,196615,AZ,ARIZONA,RUBELLA,130,8.05
467,196615,CA,CALIFORNIA,RUBELLA,119,0.63
468,196615,CO,COLORADO,RUBELLA,40,1.99
469,196615,CT,CONNECTICUT,RUBELLA,102,3.51
470,196615,FL,FLORIDA,RUBELLA,65,1.06
471,196615,HI,HAWAII,RUBELLA,3,0.42
472,196615,IA,IOWA,RUBELLA,73,2.64
473,196615,ID,IDAHO,RUBELLA,2,0.29
474,196615,IL,ILLINOIS,RUBELLA,96,0.89
475,196615,IN,INDIANA,RUBELLA,155,3.1
476,196615,KY,KENTUCKY,RUBELLA,21,0.67
477,196615,MA,MASSACHUSETTS,RUBELLA,81,1.46
478,196615,MD,MARYLAND,RUBELLA,12,0.32
479,196615,MI,MICHIGAN,RUBELLA,146,1.72
480,196615,MO,MISSOURI,RUBELLA,1,0.02
481,196615,MT,MONTANA,RUBELLA,6,0.85
482,196615,ND,NORTH DAKOTA,RUBELLA,7,1.08
483,196615,NH,NEW HAMPSHIRE,RUBELLA,4,0.59
