,week,state,state_name,disease,cases,incidence_per_capita
282,192807,ID,IDAHO,SMALLPOX,6,1.34
283,192807,IL,ILLINOIS,SMALLPOX,77,1.02
284,192807,IN,INDIANA,SMALLPOX,116,3.61
285,192807,KS,KANSAS,SMALLPOX,78,4.22
286,192807,KY,KENTUCKY,SMALLPOX,16,0.62
287,192807,LA,LOUISIANA,SMALLPOX,33,1.6
288,192807,MA,MASSACHUSETTS,SMALLPOX,0,0.0
289,192807,MD,MARYLAND,SMALLPOX,0,0.0
290,192807,ME,MAINE,SMALLPOX,0,0.0
291,192807,MI,MICHIGAN,SMALLPOX,42,0.9
292,192807,MN,MINNESOTA,SMALLPOX,3,0.12
293,192807,MO,MISSOURI,SMALLPOX,25,0.69
294,192807,MS,MISSISSIPPI,SMALLPOX,0,0.0
295,192807,MT,MONTANA,SMALLPOX,27,4.99
296,192807,NC,NORTH CAROLINA,SMALLPOX,93,3.02
297,192807,ND,NORTH DAKOTA,SMALLPOX,7,1.05
298,192807,NE,NEBRASKA,SMALLPOX,22,1.6
299,192807,NH,NEW HAMPSHIRE,SMALLPOX,0,0.0
300,192807,NJ,NEW JERSEY,SMALLPOX,0,0.0
301,192807,NM,NEW MEXICO,SMALLPOX,1,0.24
302,192807,NY,NEW YORK,SMALLPOX,4,0.03
303,192807,OH,OHIO,SMALLPOX,23,0.35
304,192807,OK,OKLAHOMA,SMALLPOX,94,4.01
305,192807,OR,OREGON,SMALLPOX,59,6.3
306,192807,PA,PENNSYLVANIA,SMALLPOX,1,0.01
307,192807,RI,RHODE ISLAND,SMALLPOX,0,0.0
308,192807,SC,SOUTH CAROLINA,SMALLPOX,12,0.69
309,192807,SD,SOUTH DAKOTA,SMALLPOX,9,1.31
310,192807,TN,TENNESSEE,SMALLPOX,33,1.26
311,192807,TX,TEXAS,SMALLPOX,62,1.09
312,192807,UT,UTAH,SMALLPOX,22,4.37
313,192807,VT,VERMONT,SMALLPOX,0,0.0
314,192807,WA,WASHINGTON,SMALLPOX,26,1.68
315,192807,WI,WISCONSIN,SMALLPOX,58,1.98
316,192807,WV,WEST VIRGINIA,SMALLPOX,102,6.01
317,192807,WY,WYOMING,SMALLPOX,0,0.0
318,192808,AL,ALABAMA,SMALLPOX,7,0.27
319,192808,AR,ARKANSAS,SMALLPOX,7,0.38
320,192808,AZ,ARIZONA,SMALLPOX,26,6.16
321,192808,CA,CALIFORNIA,SMALLPOX,32,0.6
322,192808,CO,COLORADO,SMALLPOX,12,1.18
323,192808,CT,CONNECTICUT,SMALLPOX,2,0.13
324,192808,DE,DELAWARE,SMALLPOX,0,0.0
325,192808,FL,FLORIDA,SMALLPOX,4,0.28
326,192808,GA,GEORGIA,SMALLPOX,0,0.0
327,192808,IA,IOWA,SMALLPOX,77,3.14
328,192808,ID,IDAHO,SMALLPOX,2,0.45
329,192808,IL,ILLINOIS,SMALLPOX,53,0.7
330,192808,IN,INDIANA,SMALLPOX,114,3.55
331,192808,KS,KANSAS,SMALLPOX,105,5.68
332,192808,KY,KENTUCKY,SMALLPOX,30,1.17
333,192808,LA,LOUISIANA,SMALLPOX,22,1.07
334,192808,MA,MASSACHUSETTS,SMALLPOX,0,0.0
335,192808,MD,MARYLAND,SMALLPOX,0,0.0
336,192808,ME,MAINE,SMALLPOX,0,0.0
337,192808,MI,MICHIGAN,SMALLPOX,37,0.79
338,192808,MN,MINNESOTA,SMALLPOX,0,0.0
339,192808,MO,MISSOURI,SMALLPOX,53,1.47
340,192808,MS,MISSISSIPPI,SMALLPOX,4,0.2
341,192808,MT,MONTANA,SMALLPOX,12,2.22
342,192808,NC,NORTH CAROLINA,SMALLPOX,113,3.67
343,192808,ND,NORTH DAKOTA,SMALLPOX,4,0.6
344,192808,NE,NEBRASKA,SMALLPOX,17,1.24
345,192808,NJ,NEW JERSEY,SMALLPOX,0,0.0
346,192808,NM,NEW MEXICO,SMALLPOX,2,0.48
347,192808,NY,NEW YORK,SMALLPOX,10,0.09
348,192808,OH,OHIO,SMALLPOX,31,0.47
349,192808,OK,OKLAHOMA,SMALLPOX,190,8.11
350,192808,OR,OREGON,SMALLPOX,30,3.21
351,192808,PA,PENNSYLVANIA,SMALLPOX,0,0.0
352,192808,RI,RHODE ISLAND,SMALLPOX,0,0.0
353,192808,SC,SOUTH CAROLINA,SMALLPOX,4,0.23
354,192808,SD,SOUTH DAKOTA,SMALLPOX,3,0.44
355,192808,TN,TENNESSEE,SMALLPOX,34,1.3
356,192808,TX,TEXAS,SMALLPOX,12,0.21
357,192808,UT,UTAH,SMALLPOX,23,4.56
358,192808,VT,VERMONT,SMALLPOX,0,0.0
359,192808,WA,WASHINGTON,SMALLPOX,82,5.29
360,192808,WI,WISCONSIN,SMALLPOX,21,0.72
361,192808,WV,WEST VIRGINIA,SMALLPOX,54,3.18
362,192808,WY,WYOMING,SMALLPOX,3,1.36
363,192809,AL,ALABAMA,SMALLPOX,26,0.98
364,192809,AR,ARKANSAS,SMALLPOX,8,0.43
365,192809,AZ,ARIZONA,SMALLPOX,67,15.88
366,192809,CA,CALIFORNIA,SMALLPOX,32,0.6
367,192809,CO,COLORADO,SMALLPOX,20,1.97
368,192809,CT,CONNECTICUT,SMALLPOX,3,0.19
369,192809,DC,DISTRICT OF COLUMBIA,SMALLPOX,0,0.0
370,192809,DE,DELAWARE,SMALLPOX,0,0.0
371,192809,FL,FLORIDA,SMALLPOX,12,0.84
372,192809,GA,GEORGIA,SMALLPOX,0,0.0
373,192809,IA,IOWA,SMALLPOX,63,2.57
374,192809,ID,IDAHO,SMALLPOX,4,0.89
375,192809,IL,ILLINOIS,SMALLPOX,40,0.53
376,192809,IN,INDIANA,SMALLPOX,126,3.92
377,192809,KS,KANSAS,SMALLPOX,49,2.65
378,192809,KY,KENTUCKY,SMALLPOX,11,0.43
379,192809,LA,LOUISIANA,SMALLPOX,22,1.07
380,192809,MA,MASSACHUSETTS,SMALLPOX,0,0.0
381,192809,MD,MARYLAND,SMALLPOX,0,0.0
382,192809,ME,MAINE,SMALLPOX,0,0.0
383,192809,MI,MICHIGAN,SMALLPOX,22,0.47
384,192809,MN,MINNESOTA,SMALLPOX,4,0.15
385,192809,MO,MISSOURI,SMALLPOX,35,0.97
386,192809,MS,MISSISSIPPI,SMALLPOX,10,0.5
